product_id,brand,product_name,category,original_price,stock,customer_type,negotiation_round,festival_sale,minimum_acceptable_price
P008,Canon,Canon EOS R50,Camera,75000,53,New,1,0,67674
P007,Dell,Dell XPS 13,Laptop,120000,46,Returning,2,1,105984
P001,Apple,iPhone 16,Smartphone,80000,87,Premium,3,0,70762
P007,Dell,Dell XPS 13,Laptop,120000,94,Returning,1,0,106496
P004,Sony,PlayStation 5,Gaming Console,55000,69,Returning,1,1,49187
P005,Sony,Sony WH-1000XM6,Headphones,32000,60,New,1,1,26887
P009,Apple,iPad Air M3,Tablet,65000,13,New,3,0,61592
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,97,New,1,1,81697
P008,Canon,Canon EOS R50,Camera,75000,28,Returning,1,0,66638
P001,Apple,iPhone 16,Smartphone,80000,50,Returning,2,1,72733
P009,Apple,iPad Air M3,Tablet,65000,85,Premium,2,0,56894
P005,Sony,Sony WH-1000XM6,Headphones,32000,28,New,3,0,26825
P006,Apple,Apple Watch Series 10,Smartwatch,50000,8,New,3,1,45514
P009,Apple,iPad Air M3,Tablet,65000,21,New,3,0,59521
P003,Apple,MacBook Air M4,Laptop,110000,9,Premium,1,0,104413
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,73,New,3,0,83734
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,54,Premium,3,1,80257
P005,Sony,Sony WH-1000XM6,Headphones,32000,27,Premium,3,1,25024
P005,Sony,Sony WH-1000XM6,Headphones,32000,51,New,3,1,25888
P006,Apple,Apple Watch Series 10,Smartwatch,50000,97,New,1,1,44136
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,13,New,3,0,142418
P005,Sony,Sony WH-1000XM6,Headphones,32000,17,Returning,1,0,27718
P005,Sony,Sony WH-1000XM6,Headphones,32000,21,Returning,3,1,25726
P009,Apple,iPad Air M3,Tablet,65000,2,Premium,3,1,58954
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,18,Returning,1,0,87660
P009,Apple,iPad Air M3,Tablet,65000,20,Returning,2,0,59384
P006,Apple,Apple Watch Series 10,Smartwatch,50000,27,Premium,3,1,43017
P008,Canon,Canon EOS R50,Camera,75000,33,New,1,1,66349
P005,Sony,Sony WH-1000XM6,Headphones,32000,6,New,2,0,27992
P005,Sony,Sony WH-1000XM6,Headphones,32000,21,Premium,2,1,25674
P001,Apple,iPhone 16,Smartphone,80000,15,New,3,0,76858
P001,Apple,iPhone 16,Smartphone,80000,48,Premium,3,0,72740
P003,Apple,MacBook Air M4,Laptop,110000,6,Returning,2,0,104920
P006,Apple,Apple Watch Series 10,Smartwatch,50000,27,Premium,1,0,44862
P009,Apple,iPad Air M3,Tablet,65000,53,Premium,3,0,58297
P004,Sony,PlayStation 5,Gaming Console,55000,21,New,2,0,50283
P006,Apple,Apple Watch Series 10,Smartwatch,50000,53,Premium,3,0,43773
P003,Apple,MacBook Air M4,Laptop,110000,90,New,2,0,100479
P008,Canon,Canon EOS R50,Camera,75000,29,New,2,1,65062
P004,Sony,PlayStation 5,Gaming Console,55000,29,New,3,0,49958
P006,Apple,Apple Watch Series 10,Smartwatch,50000,36,New,2,1,44656
P009,Apple,iPad Air M3,Tablet,65000,52,Premium,3,1,57011
P001,Apple,iPhone 16,Smartphone,80000,15,Returning,1,1,75539
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,77,Returning,2,1,81646
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,66,New,2,0,138960
P001,Apple,iPhone 16,Smartphone,80000,91,Returning,1,0,73472
P007,Dell,Dell XPS 13,Laptop,120000,9,Premium,2,1,108179
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,93,Returning,3,1,79032
P007,Dell,Dell XPS 13,Laptop,120000,42,Returning,3,1,104467
P003,Apple,MacBook Air M4,Laptop,110000,25,Returning,3,1,98093
P003,Apple,MacBook Air M4,Laptop,110000,79,Premium,2,1,97961
P001,Apple,iPhone 16,Smartphone,80000,39,Returning,1,1,73904
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,78,Premium,2,1,132752
P008,Canon,Canon EOS R50,Camera,75000,87,New,3,1,63312
P003,Apple,MacBook Air M4,Laptop,110000,85,New,2,1,97495
P004,Sony,PlayStation 5,Gaming Console,55000,87,Returning,1,0,49150
P001,Apple,iPhone 16,Smartphone,80000,6,New,2,0,77566
P007,Dell,Dell XPS 13,Laptop,120000,81,Premium,1,1,103206
P007,Dell,Dell XPS 13,Laptop,120000,32,New,3,0,108414
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,100,Returning,1,0,82973
P009,Apple,iPad Air M3,Tablet,65000,60,New,3,0,59589
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,59,New,2,1,83122
P008,Canon,Canon EOS R50,Camera,75000,79,Premium,3,1,63350
P009,Apple,iPad Air M3,Tablet,65000,58,New,3,1,57810
P005,Sony,Sony WH-1000XM6,Headphones,32000,97,New,3,1,25564
P009,Apple,iPad Air M3,Tablet,65000,63,Premium,1,1,57800
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,92,Returning,1,1,80593
P006,Apple,Apple Watch Series 10,Smartwatch,50000,70,New,1,0,45736
P007,Dell,Dell XPS 13,Laptop,120000,89,New,3,0,105165
P007,Dell,Dell XPS 13,Laptop,120000,53,Returning,3,1,104325
P001,Apple,iPhone 16,Smartphone,80000,27,Returning,2,0,74777
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,49,Returning,1,1,135805
P007,Dell,Dell XPS 13,Laptop,120000,54,Premium,3,0,105599
P004,Sony,PlayStation 5,Gaming Console,55000,35,Returning,2,0,49948
P006,Apple,Apple Watch Series 10,Smartwatch,50000,86,Premium,2,0,43860
P008,Canon,Canon EOS R50,Camera,75000,17,Premium,3,0,67178
P007,Dell,Dell XPS 13,Laptop,120000,76,Premium,3,0,105185
P007,Dell,Dell XPS 13,Laptop,120000,18,Returning,1,0,112566
P007,Dell,Dell XPS 13,Laptop,120000,42,New,2,1,106645
P007,Dell,Dell XPS 13,Laptop,120000,36,Returning,2,0,107981
P001,Apple,iPhone 16,Smartphone,80000,96,Premium,1,1,70929
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,100,Premium,1,0,82172
P004,Sony,PlayStation 5,Gaming Console,55000,26,New,3,0,49794
P003,Apple,MacBook Air M4,Laptop,110000,61,Premium,1,0,101176
P005,Sony,Sony WH-1000XM6,Headphones,32000,99,Returning,1,0,26536
P003,Apple,MacBook Air M4,Laptop,110000,40,New,3,0,101651
P005,Sony,Sony WH-1000XM6,Headphones,32000,74,Premium,2,1,26064
P004,Sony,PlayStation 5,Gaming Console,55000,10,Premium,3,0,50204
P005,Sony,Sony WH-1000XM6,Headphones,32000,88,Premium,1,0,25775
P009,Apple,iPad Air M3,Tablet,65000,55,Premium,2,0,58518
P006,Apple,Apple Watch Series 10,Smartwatch,50000,2,Returning,2,0,46443
P006,Apple,Apple Watch Series 10,Smartwatch,50000,82,Returning,3,0,43445
P003,Apple,MacBook Air M4,Laptop,110000,94,Premium,3,1,94730
P009,Apple,iPad Air M3,Tablet,65000,100,Returning,2,1,56895
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,35,Returning,1,0,138985
P008,Canon,Canon EOS R50,Camera,75000,32,Returning,3,1,63594
P001,Apple,iPhone 16,Smartphone,80000,64,Returning,1,1,73317
P006,Apple,Apple Watch Series 10,Smartwatch,50000,34,Returning,2,1,44069
P001,Apple,iPhone 16,Smartphone,80000,67,New,1,0,76237
P007,Dell,Dell XPS 13,Laptop,120000,63,Premium,1,1,105761
P008,Canon,Canon EOS R50,Camera,75000,58,New,1,1,65726
P007,Dell,Dell XPS 13,Laptop,120000,89,New,2,1,104384
P009,Apple,iPad Air M3,Tablet,65000,68,Returning,2,1,57710
P008,Canon,Canon EOS R50,Camera,75000,35,Returning,2,0,65623
P004,Sony,PlayStation 5,Gaming Console,55000,41,New,3,0,49746
P004,Sony,PlayStation 5,Gaming Console,55000,95,Returning,2,1,47452
P004,Sony,PlayStation 5,Gaming Console,55000,38,New,2,0,50409
P001,Apple,iPhone 16,Smartphone,80000,91,Premium,1,1,70746
P001,Apple,iPhone 16,Smartphone,80000,71,Returning,3,0,73753
P008,Canon,Canon EOS R50,Camera,75000,14,New,3,1,66730
P008,Canon,Canon EOS R50,Camera,75000,57,Returning,1,0,66508
P008,Canon,Canon EOS R50,Camera,75000,15,New,2,1,67075
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,81,Premium,1,0,134052
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,39,New,1,0,140871
P007,Dell,Dell XPS 13,Laptop,120000,78,Premium,3,0,105894
P009,Apple,iPad Air M3,Tablet,65000,49,Returning,2,1,58230
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,55,Returning,3,0,136124
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,98,New,3,0,81470
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,21,New,1,0,85160
P001,Apple,iPhone 16,Smartphone,80000,53,Returning,3,1,71798
P001,Apple,iPhone 16,Smartphone,80000,30,Returning,3,1,72219
P008,Canon,Canon EOS R50,Camera,75000,10,Premium,1,1,67056
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,85,New,2,0,136057
P004,Sony,PlayStation 5,Gaming Console,55000,83,New,2,0,49073
P001,Apple,iPhone 16,Smartphone,80000,22,Returning,3,1,71949
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,60,Premium,2,1,81215
P005,Sony,Sony WH-1000XM6,Headphones,32000,65,Premium,2,1,25182
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,6,Returning,3,1,137718
P005,Sony,Sony WH-1000XM6,Headphones,32000,4,New,1,0,28443
P005,Sony,Sony WH-1000XM6,Headphones,32000,74,New,1,1,26591
P008,Canon,Canon EOS R50,Camera,75000,36,New,3,1,64650
P008,Canon,Canon EOS R50,Camera,75000,12,Returning,2,1,66591
P006,Apple,Apple Watch Series 10,Smartwatch,50000,86,New,1,1,43921
P008,Canon,Canon EOS R50,Camera,75000,37,Premium,2,0,65215
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,41,Returning,2,0,84093
P007,Dell,Dell XPS 13,Laptop,120000,66,New,3,1,105523
P001,Apple,iPhone 16,Smartphone,80000,25,Premium,2,1,72140
P008,Canon,Canon EOS R50,Camera,75000,98,New,1,1,64562
P003,Apple,MacBook Air M4,Laptop,110000,37,Returning,3,1,97524
P001,Apple,iPhone 16,Smartphone,80000,81,Premium,1,0,72618
P009,Apple,iPad Air M3,Tablet,65000,2,Premium,2,0,60180
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,60,New,3,0,83610
P005,Sony,Sony WH-1000XM6,Headphones,32000,66,Premium,2,1,25954
P008,Canon,Canon EOS R50,Camera,75000,61,New,2,0,66642
P004,Sony,PlayStation 5,Gaming Console,55000,77,Premium,3,0,49334
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,36,Returning,2,1,82040
P001,Apple,iPhone 16,Smartphone,80000,37,Premium,2,1,72386
P003,Apple,MacBook Air M4,Laptop,110000,58,Premium,2,1,97740
P009,Apple,iPad Air M3,Tablet,65000,98,Premium,2,1,56355
P006,Apple,Apple Watch Series 10,Smartwatch,50000,25,Premium,1,1,43739
P007,Dell,Dell XPS 13,Laptop,120000,6,Returning,3,1,108222
P007,Dell,Dell XPS 13,Laptop,120000,50,Premium,3,0,105607
P001,Apple,iPhone 16,Smartphone,80000,17,Premium,3,1,73990
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,57,New,3,1,81215
P003,Apple,MacBook Air M4,Laptop,110000,53,Premium,1,0,101180
P005,Sony,Sony WH-1000XM6,Headphones,32000,44,Premium,3,1,25445
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,43,Premium,3,1,80277
P006,Apple,Apple Watch Series 10,Smartwatch,50000,81,Premium,2,0,43632
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,31,Premium,3,1,79532
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,56,New,3,0,83554
P003,Apple,MacBook Air M4,Laptop,110000,89,Returning,1,0,99932
P001,Apple,iPhone 16,Smartphone,80000,38,Returning,2,1,72449
P004,Sony,PlayStation 5,Gaming Console,55000,68,Returning,3,0,49174
P003,Apple,MacBook Air M4,Laptop,110000,11,Premium,2,0,103409
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,19,New,2,1,140770
P005,Sony,Sony WH-1000XM6,Headphones,32000,86,New,2,1,25793
P009,Apple,iPad Air M3,Tablet,65000,21,New,2,1,58601
P005,Sony,Sony WH-1000XM6,Headphones,32000,82,Returning,3,1,24927
P005,Sony,Sony WH-1000XM6,Headphones,32000,26,Returning,2,0,26302
P007,Dell,Dell XPS 13,Laptop,120000,74,Returning,3,1,104616
P005,Sony,Sony WH-1000XM6,Headphones,32000,3,Premium,2,1,26068
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,88,Premium,1,1,131552
P005,Sony,Sony WH-1000XM6,Headphones,32000,100,New,3,1,25004
P004,Sony,PlayStation 5,Gaming Console,55000,80,Returning,3,0,49643
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,81,Premium,1,1,80107
P008,Canon,Canon EOS R50,Camera,75000,5,Premium,2,0,67092
P005,Sony,Sony WH-1000XM6,Headphones,32000,42,Premium,2,0,25945
P003,Apple,MacBook Air M4,Laptop,110000,70,Returning,3,1,98250
P003,Apple,MacBook Air M4,Laptop,110000,33,Returning,2,1,99323
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,60,New,1,0,85880
P007,Dell,Dell XPS 13,Laptop,120000,72,Returning,1,1,106314
P005,Sony,Sony WH-1000XM6,Headphones,32000,69,New,2,1,26428
P005,Sony,Sony WH-1000XM6,Headphones,32000,75,Returning,3,1,25210
P004,Sony,PlayStation 5,Gaming Console,55000,61,New,3,1,49387
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,29,Premium,1,1,134831
P005,Sony,Sony WH-1000XM6,Headphones,32000,84,Returning,1,0,25786
P001,Apple,iPhone 16,Smartphone,80000,39,Returning,1,0,74940
P009,Apple,iPad Air M3,Tablet,65000,18,Returning,2,1,59986
P009,Apple,iPad Air M3,Tablet,65000,54,Premium,3,0,58256
P007,Dell,Dell XPS 13,Laptop,120000,84,New,2,1,104861
P005,Sony,Sony WH-1000XM6,Headphones,32000,5,Premium,2,0,27154
P008,Canon,Canon EOS R50,Camera,75000,31,Returning,1,1,65307
P006,Apple,Apple Watch Series 10,Smartwatch,50000,8,Returning,2,0,46991
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,59,New,3,0,83757
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,3,New,2,0,143628
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,27,New,3,0,137700
P004,Sony,PlayStation 5,Gaming Console,55000,30,Returning,1,0,50383
P003,Apple,MacBook Air M4,Laptop,110000,17,Premium,2,0,103012
P001,Apple,iPhone 16,Smartphone,80000,17,New,2,0,77702
P006,Apple,Apple Watch Series 10,Smartwatch,50000,3,New,2,0,46629
P007,Dell,Dell XPS 13,Laptop,120000,68,New,3,0,107987
P008,Canon,Canon EOS R50,Camera,75000,100,Returning,3,0,63712
P009,Apple,iPad Air M3,Tablet,65000,29,Premium,1,1,57819
P001,Apple,iPhone 16,Smartphone,80000,8,Returning,2,1,75402
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,63,Premium,2,0,83070
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,42,Premium,1,0,83229
P005,Sony,Sony WH-1000XM6,Headphones,32000,80,Premium,3,1,25170
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,68,Returning,2,1,134001
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,84,Premium,3,0,79740
P008,Canon,Canon EOS R50,Camera,75000,30,Returning,2,1,64408
P007,Dell,Dell XPS 13,Laptop,120000,94,New,2,1,104220
P005,Sony,Sony WH-1000XM6,Headphones,32000,48,New,3,1,25488
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,11,New,2,0,87662
P006,Apple,Apple Watch Series 10,Smartwatch,50000,17,Premium,1,1,45686
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,53,Returning,3,1,81138
P001,Apple,iPhone 16,Smartphone,80000,37,Premium,2,1,71606
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,65,New,1,1,137329
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,45,Premium,2,0,82930
P005,Sony,Sony WH-1000XM6,Headphones,32000,74,New,2,0,27003
P005,Sony,Sony WH-1000XM6,Headphones,32000,4,New,2,1,27643
P006,Apple,Apple Watch Series 10,Smartwatch,50000,45,New,1,0,46079
P007,Dell,Dell XPS 13,Laptop,120000,9,New,3,0,111193
P009,Apple,iPad Air M3,Tablet,65000,28,Returning,2,1,57699
P003,Apple,MacBook Air M4,Laptop,110000,48,Returning,3,1,98195
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,77,New,1,0,140461
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,7,Premium,1,1,139153
P007,Dell,Dell XPS 13,Laptop,120000,63,Premium,2,1,104179
P004,Sony,PlayStation 5,Gaming Console,55000,97,Premium,1,1,47790
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,37,Premium,3,1,79839
P005,Sony,Sony WH-1000XM6,Headphones,32000,6,New,2,0,27347
P004,Sony,PlayStation 5,Gaming Console,55000,39,New,1,1,49846
P006,Apple,Apple Watch Series 10,Smartwatch,50000,16,New,2,1,45679
P003,Apple,MacBook Air M4,Laptop,110000,49,Premium,3,0,99012
P009,Apple,iPad Air M3,Tablet,65000,86,Returning,1,1,57582
P001,Apple,iPhone 16,Smartphone,80000,56,New,2,0,75582
P006,Apple,Apple Watch Series 10,Smartwatch,50000,74,Returning,3,1,43726
P007,Dell,Dell XPS 13,Laptop,120000,38,New,2,0,109689
P006,Apple,Apple Watch Series 10,Smartwatch,50000,22,Premium,2,1,43090
P007,Dell,Dell XPS 13,Laptop,120000,14,New,2,1,110436
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,51,Returning,3,1,80476
P006,Apple,Apple Watch Series 10,Smartwatch,50000,100,New,1,0,45043
P009,Apple,iPad Air M3,Tablet,65000,25,Returning,2,0,58891
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,19,Returning,1,0,87516
P003,Apple,MacBook Air M4,Laptop,110000,98,Premium,1,0,99474
P008,Canon,Canon EOS R50,Camera,75000,60,Premium,3,1,63197
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,83,Premium,3,1,128384
P006,Apple,Apple Watch Series 10,Smartwatch,50000,20,Returning,1,1,44452
P005,Sony,Sony WH-1000XM6,Headphones,32000,36,Premium,1,1,25939
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,40,Returning,2,0,83158
P006,Apple,Apple Watch Series 10,Smartwatch,50000,37,New,3,0,45129
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,65,Returning,2,0,137560
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,84,New,2,1,132813
P003,Apple,MacBook Air M4,Laptop,110000,8,Returning,1,1,103631
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,65,Premium,1,0,83353
P008,Canon,Canon EOS R50,Camera,75000,57,Premium,3,0,64372
P006,Apple,Apple Watch Series 10,Smartwatch,50000,37,Returning,2,1,44195
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,7,Premium,3,1,135567
P006,Apple,Apple Watch Series 10,Smartwatch,50000,13,Premium,3,1,44290
P005,Sony,Sony WH-1000XM6,Headphones,32000,93,Premium,3,0,25121
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,75,Premium,1,1,81517
P007,Dell,Dell XPS 13,Laptop,120000,17,Premium,3,0,109017
P009,Apple,iPad Air M3,Tablet,65000,49,Premium,2,0,58686
P009,Apple,iPad Air M3,Tablet,65000,12,Premium,3,1,58520
P006,Apple,Apple Watch Series 10,Smartwatch,50000,3,Returning,2,0,46973
P004,Sony,PlayStation 5,Gaming Console,55000,44,Returning,1,0,50240
P003,Apple,MacBook Air M4,Laptop,110000,10,Returning,1,0,105777
P006,Apple,Apple Watch Series 10,Smartwatch,50000,99,Premium,1,1,42657
P003,Apple,MacBook Air M4,Laptop,110000,24,Premium,3,0,99238
P008,Canon,Canon EOS R50,Camera,75000,6,Returning,2,0,68742
P008,Canon,Canon EOS R50,Camera,75000,79,Returning,3,1,63489
P009,Apple,iPad Air M3,Tablet,65000,31,Returning,2,0,59026
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,57,Returning,2,1,134414
P009,Apple,iPad Air M3,Tablet,65000,54,New,1,0,60843
P005,Sony,Sony WH-1000XM6,Headphones,32000,7,Premium,2,1,26627
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,92,Premium,1,1,79385
P003,Apple,MacBook Air M4,Laptop,110000,35,Returning,3,0,100450
P007,Dell,Dell XPS 13,Laptop,120000,12,New,2,1,110852
P001,Apple,iPhone 16,Smartphone,80000,54,New,2,1,73341
P007,Dell,Dell XPS 13,Laptop,120000,11,Returning,1,0,112626
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,92,Premium,2,0,80390
P001,Apple,iPhone 16,Smartphone,80000,37,Returning,3,0,73877
P008,Canon,Canon EOS R50,Camera,75000,58,Premium,1,0,65519
P005,Sony,Sony WH-1000XM6,Headphones,32000,28,New,3,1,25533
P005,Sony,Sony WH-1000XM6,Headphones,32000,31,Returning,1,0,26624
P007,Dell,Dell XPS 13,Laptop,120000,82,Premium,2,0,104013
P008,Canon,Canon EOS R50,Camera,75000,77,Premium,1,0,66235
P003,Apple,MacBook Air M4,Laptop,110000,38,Returning,1,1,99846
P010,ASUS,ASUS ROG Zephyrus G16,Laptop,160000,54,New,3,0,137636
P006,Apple,Apple Watch Series 10,Smartwatch,50000,9,Premium,3,0,45399
P008,Canon,Canon EOS R50,Camera,75000,6,Premium,2,1,65759
P001,Apple,iPhone 16,Smartphone,80000,46,New,2,0,75450
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,99,Premium,3,1,77536
P001,Apple,iPhone 16,Smartphone,80000,46,Premium,2,0,73950
P008,Canon,Canon EOS R50,Camera,75000,90,Returning,3,0,64080
P003,Apple,MacBook Air M4,Laptop,110000,9,Premium,2,0,103200
P004,Sony,PlayStation 5,Gaming Console,55000,6,New,1,1,52155
P005,Sony,Sony WH-1000XM6,Headphones,32000,66,Returning,3,1,25359
P001,Apple,iPhone 16,Smartphone,80000,97,Premium,1,1,71065
P001,Apple,iPhone 16,Smartphone,80000,84,Returning,2,0,73118
P006,Apple,Apple Watch Series 10,Smartwatch,50000,56,Returning,3,1,43916
P007,Dell,Dell XPS 13,Laptop,120000,44,New,2,1,106676
P009,Apple,iPad Air M3,Tablet,65000,35,New,3,1,57430
P007,Dell,Dell XPS 13,Laptop,120000,78,New,3,1,105428
P002,Samsung,Samsung Galaxy S25 Ultra,Smartphone,95000,11,Returning,3,1,83413
P008,Canon,Canon EOS R50,Camera,75000,78,Premium,2,0,65456
P008,Canon,Canon EOS R50,Camera,75000,45,Returning,1,1,65379
P007,Dell,Dell XPS 13,Laptop,120000,36,Premium,1,0,108187
P007,Dell,Dell XPS 13,Laptop,120000,47,Premium,3,0,106075
P001,Apple,iPhone 16,Smartphone,80000,19,Premium,3,1,73135
P003,Apple,MacBook Air M4,Laptop,110000,9,New,3,1,102170
P007,Dell,Dell XPS 13,Laptop,120000,73,New,3,0,108195
P008,Canon,Canon EOS R50,Camera,75000,48,Returning,2,0,66087
P003,Apple,MacBook Air M4,Laptop,110000,68,Returning,2,1,99165
P005,Sony,Sony WH-1000XM6,Headphones,32000,32,New,1,0,27211
P009,Apple,iPad Air M3,Tablet,65000,50,Premium,1,1,58143
P005,Sony,Sony WH-1000XM6,Headphones,32000,91,Returning,1,1,25810
P008,Canon,Canon EOS R50,Camera,75000,26,New,1,0,67462
P003,Apple,MacBook Air M4,Laptop,110000,92,Returning,1,1,98083
